T,D,P
単語,단어,たんご
練習,연습,れんしゅう
実際,실제,じっさい
成果,성과,せいか
例文,예문,れいぶん
方法,방법,ほうほう
確認,확인,かくにん
学習,학습,がくしゅう
言葉,말,ことば
時間,시간,じかん
構造,구조,こうぞう
状態,상태,じょうたい
提案,제안,ていあん
構成,구성,こうせい
理解,이해,りかい
自分,자기,じぶん
勉強,공부,べんきょう
自然,자연,しぜん
会話,회화,かいわ
状況,상황,じょうきょう
問題,문제,もんだい
内容,내용,ないよう
間違,잘못,まちがい
韓国,한국,かんこく
整理,정리,せいり
修正,수정,しゅうせい
表現,표현,ひょうげん
文章,문장,ぶんしょう
不安,불안,ふあん
今日,오늘,きょう
思考,사고,しこう
必要,필요,ひつよう
意味,의미,いみ
目的,목적,もくてき
一緒,함께,いっしょ
確信,확신,かくしん
対話,대화,たいわ
質問,질문,しつもん
改善,개선,かいぜん
段階,단계,だんかい
記憶,기억,きおく
場面,장면,ばめん
明確,명확,めいかく
観察,관찰,かんさつ
昨日,어제,きのう
効果,효과,こうか
態度,태도,たいど
説明,설명,せつめい
一番,일번,いちばん
理由,이유,りゆう
動詞,행동,どうし
構文,구문,こうぶん
相手,상대,あいて
気持,감정,きもち
希望,희망,きぼう
準備,준비,じゅんび
部分,부분,ぶぶん
言語,언어,げんご
意識,의식,いしき
可能,가능,かのう
主語,주어,しゅご
自身,자신,じしん
訓練,훈련,くんれん
余裕,여유,よゆう
評価,평가,ひょうか
根本,근본,こんぽん
作成,작성,さくせい
判断,판단,はんだん
感情,감정,かんじょう
完成,완성,かんせい
視点,시점,してん
方向,방향,ほうこう
定着,정착,ていちゃく
大事,중요,だいじ
団子,경단,だんご
翻訳,번역,ほんやく
補足,보족(추가),ほそく
重要,중요,じゅうよう
十分,충분,じゅうぶん
機能,기능,きのう
文法,문법,ぶんぽう
経験,경험,けいけん
分析,분석,ぶんせき
失敗,실패,しっぱい
何度,몇번,なんど
途中,도중,とちゅう
意図,의도,いと
本当,진실,ほんとう
条件,조건,じょうけん
形式,형식,けいしき
負担,부담,ふたん
応用,응용,おうよう
曖昧,애매,あいまい
大切,중요,たいせつ
正確,정확,せいかく
観点,관점,かんてん
時点,시점,じてん
自体,자체,じたい
結果,결과,けっか
原因,원인,げんいん
疑問,의문,ぎもん
処理,처리,しょり
一回,한번,いっかい
記録,기록,きろく
場合,사정,ばあい
関係,관계,かんけい
設計,설계,せっけい
有効,유효,ゆうこう
混乱,혼란,こんらん
運用,운용,うんよう
最初,최초,さいしょ
提供,제공,ていきょう
一度,한번,いちど
使用,사용,しよう
完全,완전,かんぜん
速度,속도,そくど
習慣,습관,しゅうかん
一文,일부,いちぶん
分類,분류,ぶんるい
直前,직전,ちょくぜん
現実,현실,げんじつ
宇宙,우주,うちゅう
心配,걱정,しんぱい
以外,이외,いがい
語順,어순,ごじゅん
実用,실용,じつよう
適切,적절,てきせつ
要素,요소,ようそ
回答,회답,かいとう
背景,배경,はいけい
語彙,어휘,ごい
実践,실천,じっせん
指摘,지적,してき
対処,대처,たいしょ
解決,해결,かいけつ
項目,항목,こうもく
実行,실행,じっこう
検索,검색,けんさく
現状,현상,げんじょう
中心,중심,ちゅうしん
姿勢,자세,しせい
努力,노력,どりょく
接続,연결,せつぞく
直接,직접,ちょくせつ
台詞,대사,せりふ
誤用,오용,ごよう
非常,비상,ひじょう
日後,일후,にちご
結論,결론,けつろん
圧縮,압축,あっしゅく
即興,즉흥,そっきょう
対象,대상,たいしょう
種類,종류,しゅるい
音読,음독,おんどく
瞬時,순간,しゅんじ
変換,변환,へんかん
話題,화제,わだい
反復,반복,はんぷく
知識,지식,ちしき
最後,최후,さいご
利用,이용,りよう
役立,유용,やくだつ
今話,지금,금화(지금의 이야기)
自覚,자각,じかく
効率,효율,こうりつ
単純,단순,たんじゅん
以下,이하,いか
意思,의미,いし
解釈,해석,かいしゃく
予定,예정,よてい
前提,전제,ぜんてい
翌日,익일(다음날),よくじつ
今考,지금,금고(오늘의 생각)
回声,메아리,
同時,동시,どうじ
発言,발언,はつげん
簡単,간단,かんたん
困難,곤란,こんなん
受容,수용,じゅよう
圧力,압력,あつりょく
興味,흥미,きょうみ
材料,재료,ざいりょう
目標,목표,もくひょう
今回,이번,こんかい
意志,의지,いし
従来,종래(전통),じゅうらい
確保,확보,かくほ
順序,순서,じゅんじょ
手順,수순,てじゅん
全部,전부,ぜんぶ
長文,장문,ちょうぶん
